Nested Sampling Global Log-Evidence           :   -0.155624154228688264E+10  +/-                         NaN
Nested Importance Sampling Global Log-Evidence:   -0.155624154039675093E+10  +/-    0.435160867161547338E+00

Dim No.       Mean        Sigma
   1    0.746254080354694782E+01    0.412953092472285555E-06
   2   -0.229161286545225584E+01    0.163234042377819454E-06
   3    0.187895190422915448E+01    0.129905311570783674E-06
   4   -0.826960041892874287E+01    0.584003863998217078E-06
   5   -0.332740166947169271E+02    0.278041453115716016E-05
   6    0.164958441093965891E+01    0.965705618025043663E-07
   7    0.416121828559691522E+02    0.273922092749501639E-05
   8    0.234162572856484381E+02    0.126159253648023163E-05

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.746254080343169335E+01
   2   -0.229161287058741436E+01
   3    0.187895190489871311E+01
   4   -0.826960041315578565E+01
   5   -0.332740166723069706E+02
   6    0.164958441195116889E+01
   7    0.416121798606870357E+02
   8    0.234162581765547735E+02

MAP Parameters
Dim No.        Parameter
   1    0.746254080343169335E+01
   2   -0.229161287058741436E+01
   3    0.187895190489871311E+01
   4   -0.826960041315578565E+01
   5   -0.332740166723069706E+02
   6    0.164958441195116889E+01
   7    0.416121798606870357E+02
   8    0.234162581765547735E+02
